ecg (ms)	filtered ecg (ms2)
-0.0146493	0.0002424
-0.0100714	0.000262
-0.0152597	0.0002832
-0.0122078	0.0003062
-0.0137337	0.000331
-0.0152597	0.000358
-0.0189221	0.0003871
-0.020448	0.0004186
-0.0241104	0.0004527
-0.0238052	0.0004895
-0.0280779	0.0005294
-0.0241104	0.0005726
-0.0247207	0.0006193
-0.020448	0.0006698
-0.0198376	0.0007245
-0.0161753	0.0007836
-0.020448	0.0008476
-0.020448	0.0009168
-0.0271623	0.0009916
-0.0299091	0.0010726
-0.0326558	0.0011601
-0.0283831	0.0012549
-0.0216688	0.0013573
-0.0076299	0.0014678
0.0051883	0.0015867
0.0244156	0.0017138
0.043948	0.0018485
0.0708051	0.0019893
0.1043765	0.0021335
0.1513764	0.0022774
0.2111945	0.0024156
0.2859672	0.0025421
0.373558	0.002651
0.4681682	0.0027377
0.56522	0.0028003
0.6619667	0.0028408
0.7477263	0.0028651
0.8118171	0.0028824
0.8502716	0.0029028
0.8572911	0.002935
0.8386742	0.0029835
0.7907587	0.0030474
0.7230056	0.0031198
0.6348044	0.0031895
0.533785	0.0032431
0.4184215	0.0032679
0.2990905	0.0032542
0.1788439	0.0031977
0.0717207	0.0030998
-0.0192272	0.0029668
-0.087896	0.0028084
-0.1373375	0.0026353
-0.1678569	0.0024572
-0.185253	0.002282
-0.1892205	0.0021145
-0.1898309	0.0019576
-0.1834218	0.0018119
-0.1776231	0.0016773
-0.1696881	0.0015529
-0.1651102	0.001438
-0.1599219	0.0013317
-0.1568699	0.0012333
-0.1535128	0.0011423
-0.152292	0.0010581
-0.1489349	0.0009803
-0.1492401	0.0009084
-0.1452725	0.0008422
-0.1452725	0.000781
-0.1419154	0.0007247
-0.141305	0.0006728
-0.1385583	0.000625
-0.1370323	0.0005811
-0.130318	0.0005405
-0.1236037	0.0005032
-0.1144479	0.0004687
-0.1052921	0.0004369
-0.0943051	0.0004073
-0.0866752	0.0003798
-0.0759934	0.0003541
-0.0686687	0.0003302
-0.0595129	0.0003078
-0.0527986	0.0002868
